texts,pm,pp,np
考点：提级管理、报请核准,正向,0.8737,0.1263
这就非常清楚了，正义不会迟到的！,正向,0.9914,0.0086
举双手赞成🙋,正向,0.9939,0.0061
@主持人王洋有话说 ：痛心！八孩母亲“小花梅”24年遭遇了什么？如何避免我们成为她？,负向,0.0024,0.9976
你别其他人分析的都透彻。可惜可惜。,正向,0.8584,0.1416
能不能睁开眼睛看看，到底谁是小花梅？,负向,0.0407,0.9593
严惩拐卖犯罪！,负向,0.0146,0.9854
依法严惩拐卖妇女儿童违法犯罪，有力保障妇女儿童身心健康安全,正向,0.9955,0.0045
唉，希望能妥善照顾孩子们,负向,0.0599,0.9401
愿天下无拐🙏🙏🙏,正向,0.9979,0.0021
严厉打击拐卖妇女儿童犯罪！！,负向,0.1079,0.8921
善恶到头终有报,正向,0.7799,0.2201
这就非常清楚了，正义不会迟到的！,正向,0.9914,0.0086
终于尘埃落定，违法者受到严惩！不过，受害者小花梅受到的无法挽回的严重伤害，只有痛惜！,负向,0.0023,0.9977
小花梅遭受的非人虐待，令人心痛！,负向,0.015,0.985
小梅花精神状态完全不能自理，作为父亲的责任人被执行九年牢狱，这么多孩子可怎么办啊，基本没有人能照顾抚养了这个问题要怎么处理呢,负向,0.0005,0.9995
受伤害最大的还是小花梅和孩子,负向,0.3285,0.6715
照顾好孩子们,正向,0.9991,0.0009
这新闻报道的挺具体了，就是不知道小花梅的亲人现在到底在哪，能找到没,中性,0.5403,0.4597
违法必究！,负向,0.0008,0.9992
罪有应得,负向,0.4247,0.5753
正义永不缺席,正向,0.9435,0.0565
希望妥善照顾受害者,负向,0.0213,0.9787
唉,负向,0.002,0.998
这个说到很详细了！法理昭昭！,正向,0.9191,0.0809
终于！,正向,0.997,0.003
先转再看！！！！,正向,0.9605,0.0395
还是希望她能恢复健康 开始新的生活….,负向,0.3981,0.6019
愿天下无拐，犯罪必惩！,正向,0.8457,0.1543
终于尘埃落定，希望小花梅能好起来,正向,0.9821,0.0179
终于等来了处理结果。小花梅和孩子们受到的伤害太大了。,负向,0.0245,0.9755
这帮罪犯真是奇葩,负向,0.0005,0.9995
违法必究！,负向,0.0008,0.9992
不易,正向,0.6167,0.3833
一年了，我没忘,正向,0.9726,0.0274
愿天下无拐！严惩不贷,正向,0.9739,0.0261
罪有应得,负向,0.4247,0.5753
法网恢恢，疏而不漏,正向,0.9436,0.0564
正义永不缺席,正向,0.9435,0.0565
等了一年多的后续,正向,0.9519,0.0481
愿天下无拐,正向,0.9979,0.0021
终于等到,正向,0.9985,0.0015
她不像你这么幸运成了一个被世界“温柔以待的”男性，能够有机会如此云淡风轻的说出冷漠的话。,正向,0.9924,0.0076
大家生气的点是一个人的一辈子原本可以更好的一辈子，只值九年,负向,0.0179,0.9821
你猜,正向,0.8793,0.1207
家人们，谁懂啊,负向,0.1519,0.8481
用法律和舆论维护自己的合法权益，本是天经地义的事情，但是由于男性天然的两种特权：婚姻和性，导致女性属于弱势地位。女性如果能得到社会的支持，才会在这两件事上享受到幸福。所以爱不是口头上的，而是文明的进步，女人的勇气和男人的担当。,正向,0.9065,0.0935
狠狠的鼓掌👏,正向,0.9997,0.0003
看了判决越想越气愤，这是司法实践中在纵容收买妇女犯罪行为、强奸犯罪行为…,负向,0.0004,0.9996
婚姻是否合法都是问题哦,负向,0.2963,0.7037
只有微博还能看到点活人。某音还是有很多污秽之言,负向,0.0077,0.9923
被拐卖过去上的假结婚居然被承认了，真的匪夷所思,负向,0.0006,0.9994
别说女权了，就算平权都任重道远，我为每一个父权制下被压迫的女性感同身受,负向,0.0714,0.9286
悲哀虐待至此，生了8个孩子，铁链锁着脖子。发现一只蟑螂那成百上千只还在那！暴力强奸。婚姻这个隐秘角落里有多少待宰的羔羊！！！,负向,0.0,1.0
如果这种婚姻合法，是对我国法律的践踏，给我国所有女性打来一记耳光。,负向,0.0572,0.9428
error,error,error,error
说的对,正向,0.9553,0.0447
说的好，所以景甜视频在哪,正向,0.7737,0.2263
对！对！,正向,0.9978,0.0022
身份证是假的  结婚登记是违规的   建立在拐卖基础上的婚姻也能称为合法吗,负向,0.0018,0.9982
可是他才被判了9年,负向,0.1727,0.8273
有一说一，判的太轻,负向,0.0027,0.9973
看了 徐州中院公众号那篇比较可以,正向,0.8948,0.1052
妹妹现在就是笼子中的困兽，笼门是敞开的，却不肯自己走出去！,中性,0.5135,0.4865
这意思是不是说政府比法律说了算,负向,0.0001,0.9999
认定婚姻有效这个真的好难接受而且铁链女是不是小花梅都不一定,负向,0.0968,0.9032
同意,负向,0.0495,0.9505
妈的气得我血压飙升,负向,0.0007,0.9993
我真觉得牠不是♂宝妈，是♂反串说话一股爹味,负向,0.0002,0.9998
评论最新几条有男宝出没,正向,0.5989,0.4011
？居然是女的？我一直以为是♂,负向,0.0001,0.9999
我觉得这个账号是共同账号，我看到他们有个群，里面都是奇怪的人,负向,0.4338,0.5662
@微博管理员 @围脖侠,正向,0.9694,0.0306
莮宝妈真的很看不得小仙女在网络上抽打牠的男宝   潜意识里都在希望小仙女退博,负向,0.1352,0.8648
她的发言每看一次都刷新我的认知下限,负向,0.3289,0.6711
他已经删博了，自己也知道是在支持犯罪啊,负向,0.1109,0.8891
这也太离谱了,负向,0.0001,0.9999
@微博管理员 请求炸号，都是有母亲的人,中性,0.4883,0.5117
好像这是个追星驴子的微博，追的还是一个被封杀两三年拜鬼咖,负向,0.0312,0.9688
建议她去养那八个孩子,正向,0.5746,0.4254
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
如果这真的是女人，怕不是个儿子讨不到媳妇想搞拐卖的伥鬼,负向,0.0009,0.9991
#极端男权#露出嘴脸了？,负向,0.0004,0.9996
汉奸粉是这样的,负向,0.004,0.996
说出那种话，我真觉得它是个♂的,负向,0.4072,0.5928
不和狗说话.jpg,负向,0.0006,0.9994
祝它也过这种日子呗 不过能觉得这种日子幸福估计自己挺惨的哈哈哈哈想想就开心,正向,0.9559,0.0441
微博屏蔽机制应该包括屏蔽颠倒黑白、鼓励犯罪、藐视法律的言论吧？@微博管理员,负向,0.002,0.998
微博屏蔽机制应该包括屏蔽颠倒黑白、鼓励犯罪、藐视法律的言论吧？@微博管理员,负向,0.002,0.998
支持她和董志民喜结连理再生一个大胖儿砸,正向,0.6676,0.3324
@微博管理员,正向,0.6059,0.3941
点进去不出意外已拉黑,负向,0.0001,0.9999
他是男的，我记得我拉黑他的时候，性别是♂,负向,0.0519,0.9481
@微博管理员看看，微博屏蔽机制应该包括屏蔽,负向,0.0351,0.9649
应该是男的,负向,0.2843,0.7157
不如报警？,负向,0.0,1.0
反正法律是国家定的，她觉得是女权的目的那就是咯~,负向,0.0288,0.9712
@微博管理员 快管管啊,负向,0.0492,0.9508
@微博管理员 这也不管,负向,0.1027,0.8973
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
男宝妈应该不是，真的就是男宝,负向,0.0099,0.9901
哦，这个人——我最近老刷到，让我感觉到一种赛博炸粪坑,正向,0.866,0.134
@微博管理员 快来干活了，这个博主不和法律对着干了！？,负向,0.0014,0.9986
为什么号还在啊……这种乐色……,负向,0.0213,0.9787
@微博管理员,正向,0.6059,0.3941
开盒她？我们还嫌浪费精力呢,负向,0.0016,0.9984
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
@不人云亦云2021 皮肤是哟黑的，牙齿是烂掉的，发型是贴头皮的，穿着是油腻的，拖鞋是爆浆的，槟榔是必须要嚼的，奖必须是天天要打的，钱是早上借的，债是晚上背的，素质是底下的，族谱是空白的,负向,0.0006,0.9994
居然是博主被禁言了，大眼真奇妙啊,负向,0.0462,0.9538
写给不人云亦云2021：皮肤是哟黑的，牙齿是烂掉的，发型是贴头皮的，穿着是油腻的，拖鞋是爆浆的，槟榔是必须要嚼的，奖必须是天天要打的，钱是早上借的，债是晚上背的，素质是底下的，族谱是空白的,负向,0.0012,0.9988
男人吧,正向,0.9103,0.0897
没看到原博主否认构成拐卖罪啊,负向,0.0079,0.9921
@微博管理员 别装瞎了,负向,0.0016,0.9984
我就说在哪见过这逆天言论来着,负向,0.0117,0.9883
为什么不能团结起来呢,负向,0.0021,0.9979
5.7万粉丝，正是铆足了劲制造冲突掐流量的时候，别给眼色了,负向,0.2212,0.7788
你好 之前出的造假公告里出现过“铁链女精神正常”或者精神病天生的事吗,负向,0.0096,0.9904
@微博管理员,正向,0.6059,0.3941
@微博管理员 该人每次都发表支持犯罪方言论，曾经还支持刘鑫，发动过给刘鑫集资，控诉江歌妈妈网暴刘鑫，三观嫉妒扭曲，言论影响恶劣。,负向,0.0131,0.9869
@工具人哥哥 判了终于,中性,0.5445,0.4555
@微博管理员@围脖侠，反人类博主你们管不管？😃,负向,0.0047,0.9953
谁去杀它,负向,0.0033,0.9967
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
@微博管理员,正向,0.6059,0.3941
立马拉黑,负向,0.0002,0.9998
怕报复，怕极端，就是法律的退步。,负向,0.002,0.998
目前的法律规范和引导来的是什么？,负向,0.0317,0.9683
不是示范，是震慑,负向,0.015,0.985
该案件一开始就具有“代表性和里程碑”-可以婚姻调解，但是要判离婚，那影响kip,负向,0.016,0.984
我其实想知道，既然是拐卖来，为什么不能认定这个婚姻无效啊，至少女方不是自愿的吧。还有一个进一步的问题，如果推定婚姻无效，可不可以算是强奸呢？,负向,0.0003,0.9997
可是拐卖妇女结成的婚姻关系是可以认可的嘛这就按婚内强奸婚内虐待来判了,负向,0.1382,0.8618
我还是觉得法律在强奸妇女，买卖儿童方面的惩罚力度太低太低了,负向,0.0003,0.9997
你支持买卖同罪吗？,负向,0.0109,0.9891
强奸拐卖量刑太低，追诉期太短，买卖应该同罪，婚内强奸也应该追究刑事责任,负向,0.0003,0.9997
原来是这样，感谢解释,正向,0.9955,0.0045
结婚证上的名字不是她的，可法律依然判定他们是夫妻,负向,0.047,0.953
曲折中前进,正向,0.992,0.008
唉 一直关注这件事 有了结果但是还是气的咬牙切齿  法律的不完善让人无奈有无力,负向,0.0017,0.9983
董志民的收买罪为什么不可以追诉  有点没看懂  求解答,负向,0.0314,0.9686
第二点的 妻子 都不是同一个人。后面这位 压根不是合法夫妻，非法囚禁 致其怀孕 还不构成强奸罪……,负向,0.0003,0.9997
每次看到这种量刑结果，再想想总是宣传法律是公正无私的我就觉得挺可笑了...区别对待也能算公正吗....,负向,0.0009,0.9991
可是董某不是她的丈夫,负向,0.0717,0.9283
可是认定婚姻关系存在这个真的合理吗？？这个婚姻不应该从头就被认定为无效吗(不太懂婚姻法),负向,0.0287,0.9713
既然已经精神失常没有性同意能力，又生孩子就是铁证，还要怎么证明强奸？植物人怀孕能不能判强奸？区别只是一个不能表达，一个表达无效而已,负向,0.0,1.0
也算有个结果…,负向,0.0597,0.9403
如果这是我的一生，我可能觉得死了的好。,负向,0.1629,0.8371
追诉时效就是个问题 时间难道就能冲到罪孽吗 就能冲淡伤害吗？,负向,0.001,0.999
感谢您能称呼受害人为小花梅。,正向,0.8406,0.1594
支持买卖同罪,正向,0.6353,0.3647
我就想问一下李莹呢？为什么这个案件里看到人们反复提到李莹？,负向,0.0017,0.9983
感谢辉哥,正向,0.9994,0.0006
我想请问一下，为什么要设立追诉时效呢？,负向,0.0542,0.9458
这个法律解释能说的过去,正向,0.6406,0.3594
遗憾的是，司法实践中，对于丈夫婚内强奸妻子的，一般不以强奸罪论处（本质还是在于难以举证）。 希望国家可以继续健全完善相关法律法规,正向,0.9337,0.0663
判了，但还是难以接受@光暗不相逢_,负向,0.0009,0.9991
刚看很感动，细想全部都是漏洞，哎,负向,0.1107,0.8893
有拐卖必有非法拘禁和强奸,负向,0.2872,0.7128
听说你昨晚去贵州中医药大学  现在去能偶遇吗？ 从你参加节目就关注你,正向,0.7721,0.2279
懂了 但是不满,负向,0.0024,0.9976
感谢丁哥解释,正向,0.9719,0.0281
error,error,error,error
转发微博,正向,0.9597,0.0403
把我所有的疑问的详细回答了  好老师,正向,0.9876,0.0124
唉,负向,0.002,0.998
把鼓励拐卖写脸上甜死了,负向,0.0181,0.9819
轻描淡写 欲盖弥彰,负向,0.0394,0.9606
1.收买罪是影响这么大，经过核准还是可以追诉的啊？为啥不追诉 2 董收买的目的就是包括强奸的，小花梅作为拐卖案中的受害人，从普罗大众的角度，很难认为她有性同意吧？不过没有证据确实很难搞,负向,0.0003,0.9997
婚姻内的违法犯罪更应该重罚！！！,负向,0.0175,0.9825
你猜为什么,负向,0.0055,0.9945
说是九年…其实监狱能减刑，一般来说，犯人都可以减一点，所以这他很可能不到九年就出来了,负向,0.0505,0.9495
辉哥最后一句“本案要不是因为全国网友都看到了小花梅被非法拘禁、虐待的视频，估计董志民最后的结局是，无罪释放。”  还有多少我们看不见的被拐卖的妇女在哪里过完了她的一生呢,负向,0.028,0.972
若时、桑二人是因拐卖多人达到加重法定刑可能判处为无期以上刑期，符合追诉程序。我好奇那么其他三个人是因为什么具体的法定情形？,负向,0.2508,0.7492
辉哥明天去贵警，看不到你啊，咋不来俺学校,负向,0.0461,0.9539
唉,负向,0.002,0.998
婚内到底如何举证呢,负向,0.1496,0.8504
有理说理,正向,0.8966,0.1034
第二点中，你预设小花梅是妻子身份？,负向,0.0161,0.9839
1.央视新闻报道原文是“刚到董家时小花梅生活基本能够自理，能与人交流，但有时存在痴笑、目光呆滞等表现。”说明早在1998年时，被害人就可能存在精神障碍，而非博主说的“98—17年之前，小花梅精神状态良好”，因此，被告人董某与其发生性关系完全有可能构成强奸罪。,负向,0.0626,0.9374
2.既然被害人早在98年便可能存在精神障碍，且缔结婚姻关系时女方相关身份信息系伪造，因此，被害人与董某的婚姻关系（限制或无民事行为能力人）自然也应无效。期间被害人又多次生子，则董某同样可能涉嫌强奸罪，而并不涉及婚内强奸成立与否的理论争议问题。,负向,0.0005,0.9995
刑法上有过“收买罪”？,负向,0.0018,0.9982
法律就是故意的，你只要买了一个女人超过5年，那你就安全了，只要你通过一些不法手段强奸喽，真是可怕呀。这个法律一开始就是在保护这种，根本就很穷无所畏惧的穷光蛋。因为人家完全划得来,负向,0.0,1.0
支持拐卖人口买卖同罪，死刑才力量//@一婉红烧肉-:我还是觉得法律在强奸妇女，买卖儿童方面的惩罚力度太低太低了@刑法丁辉: 你支持买卖同罪吗？,负向,0.0018,0.9982
精神状态好时没办法证明性不同意，精神状态不好时没有性同意能力无法性不同意。你看这逻辑正话反话都让说完了。就差在脑门上举着强奸无罪。一个在大街上喝的烂醉没有性同意能力的被强奸了算不算被强奸，拐卖婚姻竟然还能套个免罪壳。真是离谱他妈给离谱开门离谱到家了,负向,0.0,1.0
结婚证是假的 合法规避了强奸罪,负向,0.0052,0.9948
一直关注这个案子，感谢发了结果。,正向,0.9947,0.0053
@说不清四十四,正向,0.5787,0.4213
判9年出来还是个坏老头,负向,0.0018,0.9982
还是觉得对强奸妇女的罪罚太轻了对受害者真的是一辈子的阴影,负向,0.0004,0.9996
@惊心动魄的蓝2,正向,0.9961,0.0039
唉,负向,0.002,0.998
妈的，必须买卖同罪,负向,0.0002,0.9998
毁了一个女孩的一生，总觉得判决太轻了！,负向,0.0001,0.9999
@落日飞行ss 靠 气的我想去学法,正向,0.9594,0.0406
犯罪成本低，鼓励犯罪，造就了更多的犯罪土壤,正向,0.5652,0.4348
这b案子让他们判得简直猪狗不如,负向,0.0003,0.9997
转发微博,正向,0.9597,0.0403
感受到了理论和实务界的割裂即使我通过了司法考，我会发现我还是不懂“法”，再者我又想到了去年的车罗大战，一场学术交流，但是却引起了无数的人思考不管最后结果如何，我们都在推动着实务向理论靠近,正向,0.7926,0.2074
难哦，让人无语无力，等了那么久,负向,0.0008,0.9992
求求修改法律吧,负向,0.0101,0.9899
我觉得应该被枪毙真的好心疼,负向,0.0486,0.9514
结婚证上的女人不是她啊 离谱,负向,0.0011,0.9989
只能说，这样的判决结果真的很难让人信服！,负向,0.0,1.0
error,error,error,error
结婚那个时候都已经违背自己的意愿了，被卖了，后面的结婚自愿从哪里得来的，非法的买卖婚姻，都是不被法律保护的，后续的生儿育女更不应该笼统的说没有证据就认定她在被卖了后因为神志清醒就同意和买自己的人结婚的说法，在被他人控制之下发生的性行为，很难说是女方愿意的！,负向,0.0,1.0
为什么收买罪时效只有5年，不能延长这个时间吗？,负向,0.0019,0.9981
唉:-(,负向,0.0008,0.9992
唉,负向,0.002,0.998
官儿孩子又不会被拐卖，它们才懒得管呢,负向,0.0408,0.9592
对，参与拐卖应死行,负向,0.0174,0.9826
干得漂亮,正向,0.9999,0.0001
终于看到有下文了！,正向,0.9918,0.0082
这份判决算是给滔天舆论一个交代,负向,0.1201,0.8799
你眉毛怎么了？高低眉,负向,0.007,0.993
这个话题，在事件刚发生的时候，一度被到处删删删,负向,0.0175,0.9825
小花梅。,正向,0.9252,0.0748
称呼之所以觉得残忍 ，是因为她的身份一直无法得到真正的确认，另外就是她遭受的苦难，让人触目惊心。但是即使全国瞩目的情况下，在最终的法律审判结果里她还是被法律归为强奸犯董某民的家庭成员，董某民没有被判强奸罪，这个才是社会和法律的奇耻大辱。,负向,0.0003,0.9997
她的名字是什么呢？为什么不能直接让她说自己是谁呢？,负向,0.0002,0.9998
应该死刑,负向,0.0179,0.9821
国家不作为,负向,0.0127,0.9873
error,error,error,error
是不是判轻了,负向,0.0084,0.9916
太轻了,负向,0.0018,0.9982
zl。,正向,0.8503,0.1497
你们有完没完，象征性给你个面子不要不识好歹,负向,0.0004,0.9996
太轻，该凌迟。,负向,0.0028,0.9972
没有买卖就没伤害，把买的人重罚谁也不敢买，人犯孑卖给谁…,负向,0.0003,0.9997
应该严惩,负向,0.1798,0.8202
严罚,负向,0.2317,0.7683
赞,正向,0.9999,0.0001
买来的婚姻无效，怎么能是妻子？,负向,0.0017,0.9983
追诉期这玩意对于特别严重的罪犯来说应该取缔，全都判上,负向,0.0001,0.9999
九年都不够生八个娃的,负向,0.03,0.97
error,error,error,error
error,error,error,error
@开阳县检察院,正向,0.7237,0.2763
error,error,error,error
error,error,error,error
关注,正向,0.9993,0.0007
error,error,error,error
】,正向,0.8648,0.1352
error,error,error,error
error,error,error,error
转发微博,正向,0.9597,0.0403
转发微博,正向,0.9597,0.0403
拐卖妇女儿童犯罪就应该终身追诉!,负向,0.3329,0.6671
我们始终相信，正义终会来临,正向,0.9997,0.0003
这几个拐卖妇女的肯定不是只作案这一次，应该顺着继续深挖,负向,0.2688,0.7312
有法可依，有法必依，执法必严。,正向,0.8619,0.1381
转发微博,正向,0.9597,0.0403
传谣是怎么说？,负向,0.0024,0.9976
他家隔壁还有个疯女人,负向,0.0584,0.9416
同意。一个董志民抓了又怎样，远远不够，以后怎么杜绝这种事？,负向,0.0004,0.9996
发律不完全讲究公平，目的是找到人负责。这几个孩子最后谁管？,负向,0.0004,0.9996
ADS,正向,0.5838,0.4162
唉,负向,0.002,0.998
岚姐，善意建议不使用“把她上了”这样的措辞,负向,0.01,0.99
女人现在疯了没人告董强奸罪,负向,0.0339,0.9661
大概是能拿出来的证据不足，不能完美闭环，所以稳妥起见没有这个罪名。说实话，今天很惊讶，也很高兴的，我没想到这个事情还能有后续，当初几乎以为这些人要逍遥法外了。,负向,0.1359,0.8641
违背意志就是强迫。属于超级强奸罪！犯罪成本低，是此类刑事犯罪高发的主因。,负向,0.0013,0.9987
不解气,负向,0.0011,0.9989
有罪需要证据的。,负向,0.0557,0.9443
不错，就是强奸！,正向,0.9878,0.0122
很绝望,负向,0.0065,0.9935
应该是“受害者”没有能力提出“强奸罪”的能力和证据，毕竟“受害者”已经有严重的精神疾病，连自理能力都没有！,负向,0.0,1.0
希望真相早日到来,负向,0.4201,0.5799
对精神病人的保护需要更加重视了，特别是对家庭经济困难的，要么家里出一个人全天照顾，要么去几千一个月的精神病院，对大多数普通家庭来说都承受不起。,负向,0.0141,0.9859
非必要不结婚,负向,0.0207,0.9793
确实，没有证据，这个没法证明。法院必须遵循证据。,负向,0.0,1.0
母亲和孩子们太可怜了,负向,0.0026,0.9974
這環境能怎麼辦⋯⋯,负向,0.0138,0.9862
好家伙，都上锁链了还不能定性为违背妇女意愿，骇人听闻，实在是高啊,负向,0.1753,0.8247
在外网这个事件已经被评价为网络上看到的最黑暗恐怖的事件前三名！在中国一些地方女性环境不比印度好哪去。。。太恐怖了,负向,0.0,1.0
"三十年前，一个贫困家庭的精神病，是严重的拖累。如果没有所谓的""拐卖者""（因为是女的，有""拐卖""的价值），很有可能活不到今天。与之相对应的，那些贫困家庭的大量男性精神病患者，有多少无声无息的消失。凡是在这件事上喷所谓""拐卖者""的，都是何不食肉糜。",负向,0.0002,0.9998
支持简化强奸判定条件 以后随便判男宝强奸,中性,0.494,0.506
虎头蛇尾的媒体监督。当年的民怨沸腾，刑事立案，法院现在宣判了，媒体的热度已经过去了，一审判决结果公正与否就很少有媒体提及了，大家都不关心了，这真的很可怕。将公正追求到底，不要凭一时兴起，没有韧性不持之以恒，罪恶不会杜绝！网友们要接力，持续形成新热度才能促成制度性变革。,负向,0.001,0.999
说的太对了，没判强奸，你要说是，那就另一个造谣的问题。还举一反三呢，我看是要抓紧安抚类似的家庭，让他们看管好别再曝给网上了,负向,0.0005,0.9995
最搞笑的是中国妇女报都不敢报道,负向,0.0088,0.9912
或者能不能证明最近的一次性行为是在她精神病期间做的，精神病人不管自愿不自愿都算强奸吧我记得,负向,0.0126,0.9874
唉，就是没有证据。,负向,0.0018,0.9982
拐卖罪在拐卖中，应该也一直存在着的。强奸罪也漏了。九年以后呢？难道成家人了？,负向,0.0024,0.9976
吸收的轻罪,正向,0.9795,0.0205
直接刺激她病情加重了,正向,0.6279,0.3721
根据无罪推定原则，还真可能定不了，而且强奸是拐卖妇女的加重情节之一，但是从量刑结果看似乎确实没有认定有类似的情节。,负向,0.0006,0.9994
应该是“没有证据证明当时是违背妇女意志”。。。,负向,0.0005,0.9995
同意,负向,0.0495,0.9505
试试倒着嘞,正向,0.5871,0.4129
是什么图啊？,负向,0.001,0.999
图已经花了,负向,0.1115,0.8885
这都能挂,负向,0.0779,0.9221
转发微博,正向,0.9597,0.0403
真挂了，好讽刺,负向,0.0045,0.9955
挂了,负向,0.0043,0.9957
up,正向,0.9998,0.0002
error,error,error,error
我光看文字都哭了，无法想象她经历了什么,负向,0.0156,0.9844
严惩不贷！买卖方同罪！！,负向,0.0005,0.9995
受害人实在是太惨了,负向,0.0012,0.9988
依法打击拐卖妇女儿童犯罪活动， 全面维护广大妇女儿童合法权益！,负向,0.3121,0.6879
根本不敢读完,负向,0.0009,0.9991
看案件事实描述，斑斑血泪,负向,0.0519,0.9481
希望这样的犯罪分子得到严厉制裁！保护妇女儿童！,负向,0.1761,0.8239
罪有应得！,正向,0.6703,0.3297
法网恢恢疏而不漏！！！,正向,0.8192,0.1808
严惩！,负向,0.3639,0.6361
不可饶恕！,负向,0.1881,0.8119
罪有应得,负向,0.4247,0.5753
罪有应得,负向,0.4247,0.5753
严惩,负向,0.3647,0.6353
罪有应得,负向,0.4247,0.5753
恶有恶报,负向,0.0993,0.9007
以此为戒，关注妇女儿童健康,负向,0.4366,0.5634
从严打击拐卖妇女犯罪！,负向,0.0143,0.9857
她的一辈子都毁了后期怎么安排呢,负向,0.0003,0.9997
好心疼小花梅，加害人全都是渣滓,负向,0.0723,0.9277
因为她自己已经没什么辨认判断的能力了，而家人也没有帮她解除婚姻关系，而且居委会村委会也没有帮助她解除！大家都想着多一事不如少一事！我要炸了,负向,0.003,0.997
好比喻看你要是搞只可爱熊猫回来养不判你个无期徒刑,负向,0.1239,0.8761
女人也配跟故宫的文物比？想什么呢？,负向,0.1221,0.8779
说得好,正向,0.9873,0.0127
那你偷碗的时候帮我也偷一个,负向,0.0078,0.9922
这个说法放到大英博物馆里就不成立了,负向,0.0233,0.9767
不能 因为碗不能下崽 所以碗不是你的,负向,0.0055,0.9945
他们做出的很多骚操作都让人看不懂，只能说是在明目张胆的糊弄你，仿佛在说，一加一等于三，我知道错了，但是你们指责我不对，我不在乎，不作为，不反驳，不负责。,负向,0.0,1.0
他意思不是所有碗都是故宫的,负向,0.0584,0.9416
从最初就是无效婚姻啊 判九年甚至不够人家生八个孩子,负向,0.0549,0.9451
优化流程呗 别再让受害者继续受伤害了 配套的罪名啦，刑罚啦，处理手续啦,负向,0.0065,0.9935
好像get了拥有故宫碗的技能了这就起床打飞的去试试,正向,0.9964,0.0036
我支持，碗是你的我天朝五千年只有王法，何时有过法律,正向,0.983,0.017
看了看那些所谓的zf公众号 @ 谁都没有用也没意义 @中国政府网 @紫光阁 @国务院公报 对不对,负向,0.0015,0.9985
因为故宫里的碗又不是能生娃的女人啊,中性,0.4607,0.5393
那可是老重最爱皆大欢喜好结局,正向,0.9985,0.0015
觉得可能是她家人不肯收留她？离婚了也没法生活唉 太惨了,负向,0.001,0.999
这是可撤销婚姻，给了她选择机会，只是她精神都这样了，她家人还不帮她撤销就无语。以前真的有好多被拐了发现之后还不愿意离开，国家也不能不尊重当事人意愿，所以就给了选择权给当事人。问题是这个女人的家人是真的无动于衷啊，他妈的,负向,0.0,1.0
@最高人民法院 @徐州市中级人民法院 @中国妇女报 可笑！拐卖，被结婚，只要时间长都合法？？？你认为法制事实为何公然凌驾于客观事实之上？刻舟求剑！即使被拐卖，长期虐待，终至搞疯，也一曰结婚，终身合法？？？？,负向,0.0001,0.9999
因为碗珍贵，谁都会抢着要，当然还归国家。但“她”一点不珍贵，谁都不想要，你我不想要，原生家庭不想要，机构不想被拖累，国家？谁是国家？ 责任？好像谁都没有明确的责任，那就都没有吧。 有价值的东西才会被争被抢被尊重,负向,0.0004,0.9996
人可不配跟文物比，尤其是女人,负向,0.2044,0.7956
法律是为了维护稳定而不是实行正义的，你想,负向,0.0016,0.9984
支持,正向,0.9999,0.0001
支持,正向,0.9999,0.0001
我支持,正向,0.9999,0.0001
附议,正向,0.9146,0.0854
支持,正向,0.9999,0.0001
up,正向,0.9998,0.0002
支持,正向,0.9999,0.0001
支持,正向,0.9999,0.0001
给你点了,负向,0.0392,0.9608
转发微博,正向,0.9597,0.0403
回复@想来一杯爆汁大橘 的表态:感谢您关注我！想看到更多精彩独家内容，就订阅我吧。,正向,0.8992,0.1008
问就是强奸俩字烫嘴,负向,0.0046,0.9954
就搞得好像拐卖来的婚姻也是被认可的一样...,负向,0.0127,0.9873
以后大家都上街“捡”媳妇吧,负向,0.0427,0.9573
虐待家庭成员,负向,0.0032,0.9968
为什么没有强奸罪,负向,0.0032,0.9968
实际上她经历遭受的罪行可不止这些,负向,0.0219,0.9781
为什么与精神病人发生性关系没有判强奸罪？,负向,0.0015,0.9985
生八个孩子不算虐待吗 生孩子多痛苦啊，还有各种并发症和后遗症，而且还生了八个,负向,0.0062,0.9938
想到卖鹦鹉🦜都比卖女人判得高……就觉得特别可笑！！,负向,0.0009,0.9991
可悲可叹,负向,0.0051,0.9949
为啥追诉要有时效？永远不行吗？,负向,0.0002,0.9998
追诉时效从什么时候开始算起啊,正向,0.8406,0.1594
违反公序良俗,负向,0.0181,0.9819
这种居然算婚姻，真是侮辱,负向,0.0002,0.9998
故意（精神）杀人罪,负向,0.0005,0.9995
囚禁二十年导致精神分裂就判几年 成本太低了吧,负向,0.0032,0.9968
人不如动物，抓只大熊猫养着怎么样,负向,0.1593,0.8407
太划算了,正向,0.9984,0.0016
八孩了还不叫虐待？强迫妇女生娃不是虐待？,负向,0.0004,0.9996
好像婚姻就是很多违法事情的保护伞一样，真让人窒息,负向,0.0118,0.9882
所以都不结婚了，最可笑的“家庭成员”,负向,0.001,0.999
